feature,importance
Glucose,0.257509528375044
BMI,0.16696646865820888
Age,0.13114209995848566
DiabetesPedigreeFunction,0.11872977285604837
Insulin,0.09392321641835497
BloodPressure,0.08423807162346887
SkinThickness,0.07415286597339457
Pregnancies,0.07333797613699462
